order_id,return_date,return_reason
116694,2025-11-13,Bad Quality
53125,2025-05-29,Bad Quality
42478,2024-12-12,Damaged
67173,2025-10-13,Bad Quality
62544,2025-09-03,Damaged
83055,2025-08-24,Damaged
35231,2025-04-04,Damaged
19107,2024-09-25,Damaged
72268,2025-06-26,Bad Quality
107079,2025-10-11,Damaged
71322,2024-11-22,Damaged
2312,2025-07-17,Damaged
78095,2025-09-06,Bad Quality
56041,2025-08-13,Damaged
10230,2025-03-12,Not Needed
38251,2025-08-02,Bad Quality
36438,2025-07-27,Wrong Item
43820,2025-04-20,Damaged
67164,2025-11-06,Damaged
63687,2024-12-23,Not Needed
40317,2025-06-07,Damaged
42476,2025-02-13,Damaged
113095,2025-11-20,Wrong Item
94991,2025-03-08,Bad Quality
98087,2025-08-18,Bad Quality
49375,2025-10-28,Not Needed
5490,2025-02-22,Not Needed
23706,2025-08-21,Not Needed
59075,2025-04-05,Bad Quality
119737,2025-10-01,Wrong Item
75419,2025-03-29,Wrong Item
2559,2025-01-29,Not Needed
49129,2024-06-13,Wrong Item
62183,2025-02-24,Bad Quality
6840,2025-07-18,Damaged
43728,2025-11-13,Wrong Item
52643,2025-10-16,Not Needed
87711,2025-11-25,Wrong Item
12309,2025-08-14,Bad Quality
37796,2025-02-21,Wrong Item
74411,2024-10-10,Damaged
97052,2024-03-22,Bad Quality
38579,2025-07-13,Wrong Item
100378,2025-05-26,Bad Quality
30915,2025-11-22,Not Needed
81637,2025-11-10,Wrong Item
15410,2025-02-06,Bad Quality
4470,2024-07-24,Bad Quality
24885,2025-07-16,Wrong Item
109970,2025-11-27,Damaged
87480,2025-10-08,Wrong Item
12291,2025-10-06,Not Needed
75192,2025-10-03,Bad Quality
27002,2025-11-05,Bad Quality
47015,2025-11-24,Bad Quality
29955,2025-01-14,Bad Quality
104694,2025-06-19,Not Needed
6872,2025-09-08,Damaged
51261,2025-11-17,Wrong Item
111307,2024-06-04,Bad Quality
50378,2024-09-06,Bad Quality
105506,2025-11-26,Wrong Item
76430,2025-09-11,Wrong Item
83254,2024-07-11,Not Needed
28867,2024-08-08,Not Needed
98878,2025-10-24,Damaged
49099,2025-04-05,Wrong Item
231,2025-08-17,Bad Quality
94527,2025-11-07,Bad Quality
62918,2025-09-14,Damaged
104733,2025-10-13,Damaged
58657,2025-05-28,Bad Quality
42176,2025-07-19,Bad Quality
58975,2025-07-20,Not Needed
52983,2025-10-30,Damaged
73248,2025-03-30,Wrong Item
27703,2025-10-18,Damaged
11074,2024-10-07,Not Needed
104065,2025-11-14,Not Needed
13891,2025-03-26,Wrong Item
79811,2025-08-04,Damaged
26196,2025-01-15,Bad Quality
117507,2025-09-01,Not Needed
68756,2025-10-29,Bad Quality
102508,2025-09-23,Wrong Item
11999,2025-05-20,Damaged
85737,2024-08-02,Not Needed
36330,2025-03-13,Wrong Item
56991,2024-09-24,Not Needed
100780,2025-11-16,Bad Quality
23344,2025-03-30,Bad Quality
88490,2025-03-09,Bad Quality
108778,2025-11-19,Bad Quality
111501,2025-04-12,Wrong Item
94048,2024-08-19,Damaged
86491,2025-06-25,Wrong Item
62295,2025-04-16,Damaged
24298,2025-11-25,Wrong Item
75900,2025-10-31,Bad Quality
12185,2025-07-28,Wrong Item
26304,2025-08-19,Wrong Item
83037,2024-09-18,Not Needed
53435,2025-07-04,Not Needed
19479,2025-03-29,Not Needed
99874,2025-07-20,Bad Quality
38687,2025-05-24,Wrong Item
118846,2025-10-29,Not Needed
73212,2025-07-12,Damaged
117146,2025-03-11,Damaged
34347,2025-10-26,Bad Quality
70515,2025-05-23,Bad Quality
116943,2024-10-20,Not Needed
18373,2025-04-13,Not Needed
58917,2025-01-30,Not Needed
86251,2025-11-22,Damaged
33458,2025-05-18,Damaged
86848,2025-06-03,Damaged
8668,2024-12-15,Wrong Item
119242,2025-04-24,Not Needed
116654,2025-04-14,Bad Quality
26014,2025-10-20,Damaged
63993,2025-10-18,Wrong Item
104405,2025-01-16,Damaged
38923,2025-04-23,Bad Quality
1668,2025-08-05,Not Needed
103166,2025-10-05,Bad Quality
54128,2025-10-29,Damaged
40536,2025-11-22,Bad Quality
51102,2025-02-06,Bad Quality
18152,2025-05-24,Wrong Item
42449,2025-02-14,Not Needed
41473,2025-10-22,Damaged
32049,2025-04-19,Damaged
18660,2025-11-22,Not Needed
95841,2025-08-11,Not Needed
62467,2025-06-13,Wrong Item
64519,2025-04-15,Bad Quality
114889,2025-07-01,Damaged
77704,2024-12-17,Wrong Item
95034,2025-09-10,Not Needed
77427,2025-08-22,Damaged
46112,2025-10-19,Not Needed
32271,2025-10-12,Damaged
46993,2025-11-25,Damaged
6997,2025-10-15,Not Needed
41331,2025-03-07,Wrong Item
12238,2025-09-17,Not Needed
69348,2025-09-26,Wrong Item
39457,2025-04-21,Bad Quality
113211,2024-10-28,Bad Quality
22476,2024-12-10,Not Needed
112147,2025-04-26,Damaged
19667,2025-06-06,Not Needed
27253,2025-10-12,Not Needed
72787,2025-05-28,Wrong Item
104297,2025-07-31,Damaged
54516,2025-02-08,Bad Quality
70217,2025-11-04,Bad Quality
48845,2025-07-17,Wrong Item
82811,2025-10-18,Bad Quality
59620,2025-04-05,Damaged
50456,2025-09-22,Wrong Item
101189,2024-09-27,Not Needed
116656,2025-09-08,Wrong Item
98223,2024-11-27,Wrong Item
10141,2025-11-18,Wrong Item
97005,2025-08-07,Not Needed
14911,2025-02-28,Not Needed
73888,2025-09-22,Not Needed
91315,2025-06-15,Wrong Item
19271,2025-01-07,Wrong Item
6894,2025-02-15,Wrong Item
78786,2025-11-22,Bad Quality
112103,2025-06-14,Damaged
14570,2025-05-04,Damaged
15435,2025-09-17,Wrong Item
57009,2025-08-27,Wrong Item
87677,2025-04-22,Damaged
107221,2025-09-03,Not Needed
42819,2025-06-17,Wrong Item
119659,2025-11-07,Not Needed
50119,2025-06-06,Damaged
50799,2024-10-05,Not Needed
96255,2025-11-08,Not Needed
57922,2025-04-29,Wrong Item
103320,2024-12-08,Damaged
46487,2025-11-21,Wrong Item
114125,2025-02-28,Not Needed
119127,2025-07-26,Bad Quality
22636,2025-07-11,Damaged
13166,2025-09-22,Bad Quality
58408,2024-07-07,Bad Quality
95543,2025-09-28,Not Needed
53257,2025-11-24,Not Needed
50071,2025-04-03,Not Needed
33829,2024-10-14,Wrong Item
112087,2025-07-07,Bad Quality
84799,2025-10-13,Bad Quality
50255,2025-05-17,Damaged
54078,2025-06-21,Wrong Item
72765,2024-10-07,Damaged
27571,2025-07-13,Bad Quality
25058,2025-08-04,Damaged
47210,2025-10-21,Bad Quality
67245,2025-07-17,Bad Quality
55473,2025-10-26,Wrong Item
111485,2025-09-17,Damaged
49078,2024-12-28,Wrong Item
95490,2024-08-25,Damaged
62461,2025-08-22,Bad Quality
24161,2025-05-24,Wrong Item
81854,2025-06-24,Damaged
47880,2025-06-20,Wrong Item
4192,2025-05-26,Not Needed
45280,2025-11-05,Not Needed
78199,2025-06-21,Not Needed
55386,2025-11-13,Damaged
105174,2025-04-24,Not Needed
32912,2025-11-22,Wrong Item
74190,2024-10-05,Not Needed
16050,2025-03-28,Bad Quality
59177,2025-09-04,Wrong Item
75029,2025-05-22,Damaged
16967,2024-10-17,Damaged
116270,2025-11-06,Bad Quality
11738,2024-12-11,Not Needed
65033,2025-04-30,Wrong Item
85864,2025-09-07,Not Needed
94417,2024-12-08,Damaged
79346,2025-08-17,Wrong Item
20002,2025-10-25,Damaged
56907,2025-05-26,Damaged
64613,2025-04-04,Damaged
98640,2025-10-21,Wrong Item
68060,2025-09-22,Not Needed
109048,2024-06-11,Not Needed
107626,2025-03-16,Not Needed
108152,2025-01-29,Bad Quality
59883,2024-11-16,Wrong Item
114683,2025-06-06,Damaged
15870,2024-04-28,Not Needed
119618,2025-11-01,Bad Quality
57857,2025-07-27,Bad Quality
15562,2024-07-20,Not Needed
70074,2025-01-19,Not Needed
4091,2025-10-16,Damaged
107253,2025-08-15,Not Needed
71861,2025-07-21,Damaged
11043,2025-03-08,Not Needed
104379,2025-07-27,Not Needed
115163,2025-10-22,Wrong Item
63236,2025-04-23,Wrong Item
7312,2024-11-28,Damaged
24842,2025-08-24,Bad Quality
69603,2025-09-14,Wrong Item
87081,2025-09-30,Not Needed
113946,2025-07-16,Not Needed
27473,2025-11-17,Damaged
107751,2025-08-06,Damaged
2878,2025-08-24,Wrong Item
11168,2025-07-17,Wrong Item
102122,2025-01-16,Wrong Item
68657,2025-06-04,Bad Quality
115562,2025-04-14,Bad Quality
93868,2024-07-24,Wrong Item
41629,2025-09-13,Wrong Item
32937,2025-11-26,Bad Quality
3132,2025-11-20,Not Needed
75831,2025-07-24,Wrong Item
99120,2025-09-01,Bad Quality
35527,2025-01-19,Wrong Item
77708,2025-06-29,Not Needed
53528,2025-09-11,Bad Quality
160,2025-04-09,Wrong Item
39226,2025-10-14,Bad Quality
38566,2025-06-03,Wrong Item
31004,2025-11-27,Bad Quality
37487,2025-02-13,Damaged
111424,2025-11-11,Bad Quality
50328,2024-11-22,Not Needed
91576,2024-04-16,Wrong Item
57103,2025-10-17,Wrong Item
36974,2025-11-26,Not Needed
42807,2025-09-17,Damaged
99246,2025-01-14,Wrong Item
91329,2025-10-06,Wrong Item
105988,2025-09-27,Bad Quality
4138,2025-08-04,Damaged
9114,2025-02-11,Wrong Item
114505,2025-06-15,Wrong Item
14922,2025-09-27,Wrong Item
115130,2025-05-21,Wrong Item
54670,2024-09-26,Bad Quality
87766,2025-07-26,Wrong Item
72332,2025-09-19,Damaged
1964,2025-06-10,Wrong Item
103636,2024-11-17,Not Needed
35357,2024-12-07,Bad Quality
918,2025-11-21,Damaged
36093,2025-08-18,Wrong Item
101879,2025-03-28,Bad Quality
44244,2024-05-21,Not Needed
118303,2025-11-05,Not Needed
84867,2025-05-28,Not Needed
52895,2025-03-15,Bad Quality
44808,2025-09-10,Wrong Item
49199,2024-09-26,Not Needed
105917,2024-07-03,Not Needed
63873,2025-03-10,Damaged
99538,2024-12-25,Wrong Item
1323,2025-11-27,Bad Quality
37032,2024-12-09,Bad Quality
74747,2025-11-14,Damaged
99458,2024-12-30,Bad Quality
46977,2025-08-20,Bad Quality
105728,2025-08-03,Bad Quality
93265,2025-11-23,Wrong Item
75145,2025-10-04,Bad Quality
95262,2024-10-19,Bad Quality
78831,2025-01-18,Bad Quality
44648,2025-11-28,Bad Quality
8772,2025-08-24,Bad Quality
102539,2025-09-10,Bad Quality
190,2024-12-04,Bad Quality
23583,2024-05-20,Not Needed
93984,2025-11-25,Damaged
62133,2025-10-24,Bad Quality
88014,2025-08-10,Not Needed
65969,2024-07-03,Damaged
55871,2025-11-23,Wrong Item
62895,2025-11-16,Bad Quality
109736,2024-11-06,Not Needed
75157,2025-11-19,Bad Quality
82353,2025-09-23,Not Needed
30874,2024-11-13,Bad Quality
66073,2025-11-24,Wrong Item
10948,2024-12-22,Wrong Item
83756,2025-07-01,Not Needed
10377,2024-08-18,Bad Quality
21305,2025-08-10,Wrong Item
43305,2025-10-24,Damaged
116048,2025-07-12,Wrong Item
60931,2025-10-30,Not Needed
65749,2024-11-11,Damaged
72460,2025-11-15,Wrong Item
37289,2025-06-02,Wrong Item
70310,2025-11-26,Bad Quality
29930,2025-11-27,Not Needed
67816,2025-06-26,Not Needed
40604,2024-01-03,Wrong Item
18562,2024-02-12,Wrong Item
76056,2025-08-21,Bad Quality
86506,2025-09-28,Wrong Item
9833,2025-05-19,Wrong Item
3608,2024-08-24,Damaged
89286,2025-10-23,Bad Quality
21144,2024-10-29,Damaged
58573,2025-10-13,Damaged
83450,2025-07-20,Bad Quality
52629,2025-11-21,Damaged
92449,2025-09-11,Damaged
5290,2025-11-26,Bad Quality
45463,2025-06-01,Not Needed
29775,2025-11-24,Damaged
72212,2025-01-08,Not Needed
72062,2025-11-16,Damaged
52668,2025-09-17,Wrong Item
32734,2025-11-27,Bad Quality
20421,2025-08-02,Wrong Item
60688,2025-07-26,Wrong Item
95505,2025-05-20,Bad Quality
7982,2025-04-04,Bad Quality
111442,2024-09-21,Bad Quality
116278,2025-04-10,Damaged
28678,2025-11-05,Damaged
95509,2025-03-09,Damaged
2831,2025-10-17,Wrong Item
85163,2024-08-08,Damaged
84020,2025-11-28,Damaged
115555,2025-07-07,Wrong Item
103161,2025-02-05,Not Needed
119149,2025-06-07,Not Needed
57911,2025-11-23,Wrong Item
106874,2025-11-08,Bad Quality
14863,2025-11-12,Damaged
75607,2025-06-30,Not Needed
14091,2025-10-22,Damaged
73695,2025-09-17,Damaged
33625,2025-04-20,Damaged
84406,2025-08-03,Damaged
115374,2025-09-18,Wrong Item
849,2025-03-26,Not Needed
115652,2025-11-02,Not Needed
115468,2024-11-23,Not Needed
119147,2025-03-16,Damaged
54759,2025-11-23,Wrong Item
65442,2024-12-05,Bad Quality
104098,2025-08-26,Wrong Item
110065,2025-11-28,Bad Quality
2153,2025-11-10,Bad Quality
9321,2025-01-20,Wrong Item
417,2025-10-05,Not Needed
57668,2025-10-28,Not Needed
17166,2024-04-26,Wrong Item
32275,2025-10-12,Wrong Item
88010,2025-07-06,Wrong Item
77932,2025-11-02,Not Needed
26739,2025-10-06,Bad Quality
52533,2024-01-09,Wrong Item
58396,2025-11-27,Wrong Item
18947,2025-03-29,Bad Quality
110562,2025-03-12,Wrong Item
50244,2025-01-04,Wrong Item
114832,2025-11-24,Not Needed
21908,2025-08-05,Damaged
96080,2024-12-18,Bad Quality
72580,2025-03-29,Wrong Item
29818,2025-05-11,Damaged
74817,2025-10-30,Wrong Item
1413,2025-09-25,Bad Quality
22315,2025-04-11,Bad Quality
56340,2024-10-30,Damaged
27088,2025-08-02,Wrong Item
54193,2025-09-20,Damaged
50436,2025-09-24,Wrong Item
46566,2025-04-15,Not Needed
11170,2024-05-02,Damaged
20663,2024-06-01,Damaged
40457,2025-09-15,Not Needed
63193,2025-09-14,Not Needed
87364,2025-08-03,Wrong Item
10407,2025-10-10,Wrong Item
92857,2025-06-24,Damaged
58759,2025-10-08,Damaged
49928,2025-10-19,Bad Quality
81324,2025-10-28,Bad Quality
42906,2024-09-21,Bad Quality
82202,2025-09-23,Damaged
26094,2025-09-04,Not Needed
109774,2025-02-07,Wrong Item
52472,2025-10-30,Damaged
13497,2025-04-03,Bad Quality
44716,2025-10-05,Damaged
113574,2025-07-20,Damaged
79996,2024-10-22,Not Needed
93157,2025-11-22,Damaged
96928,2025-07-24,Wrong Item
58793,2025-11-23,Damaged
113566,2025-10-14,Damaged
65864,2025-06-05,Not Needed
7470,2025-05-16,Damaged
17490,2025-03-31,Bad Quality
52188,2025-09-24,Damaged
34326,2025-06-15,Not Needed
44709,2025-07-06,Bad Quality
13908,2025-03-24,Damaged
92935,2025-09-07,Wrong Item
90968,2024-09-09,Not Needed
71954,2025-06-18,Wrong Item
58268,2025-11-03,Wrong Item
25912,2025-10-27,Bad Quality
109944,2025-08-09,Not Needed
117591,2025-11-17,Damaged
75280,2025-02-11,Wrong Item
71014,2025-11-27,Not Needed
8200,2025-04-26,Damaged
61666,2025-01-26,Not Needed
28511,2025-11-28,Not Needed
68918,2025-08-30,Bad Quality
106093,2025-09-29,Wrong Item
13727,2025-10-18,Not Needed
58965,2024-06-10,Bad Quality
54351,2025-06-19,Bad Quality
19567,2025-09-21,Not Needed
20154,2025-01-24,Wrong Item
95545,2025-10-19,Wrong Item
101149,2025-03-12,Wrong Item
102301,2025-07-23,Damaged
22430,2024-12-12,Not Needed
88903,2025-04-04,Wrong Item
109680,2025-08-19,Damaged
18721,2024-10-05,Not Needed
77036,2025-05-03,Bad Quality
46188,2025-06-16,Damaged
9663,2025-07-13,Damaged
48211,2025-11-01,Damaged
85325,2025-09-04,Bad Quality
91646,2025-04-02,Damaged
1615,2025-05-12,Damaged
44491,2025-01-29,Not Needed
118809,2025-09-25,Wrong Item
22574,2025-09-25,Not Needed
13441,2025-07-21,Wrong Item
111808,2025-07-14,Wrong Item
106772,2025-11-22,Wrong Item
86329,2024-09-05,Wrong Item
59668,2024-10-09,Bad Quality
92076,2025-04-08,Wrong Item
20265,2025-09-11,Damaged
45331,2024-12-20,Damaged
11371,2024-11-28,Damaged
78721,2025-10-22,Bad Quality
106829,2025-01-04,Damaged
78048,2025-01-03,Not Needed
103934,2023-12-15,Not Needed
39440,2025-02-13,Bad Quality
48000,2025-07-10,Not Needed
66014,2025-10-15,Bad Quality
24859,2025-10-07,Bad Quality
25615,2025-07-04,Bad Quality
54910,2025-10-18,Bad Quality
95471,2025-04-02,Bad Quality
103687,2025-10-26,Damaged
111093,2025-11-26,Bad Quality
38138,2025-08-09,Damaged
28516,2025-04-11,Not Needed
116960,2025-11-23,Not Needed
48961,2025-09-07,Damaged
17439,2024-12-11,Damaged
119735,2025-05-14,Wrong Item
44368,2025-09-28,Bad Quality
41579,2025-10-06,Not Needed
92186,2025-06-19,Wrong Item
13609,2025-08-16,Wrong Item
61273,2025-11-06,Not Needed
62719,2025-11-07,Wrong Item
43044,2025-10-29,Wrong Item
20199,2025-04-20,Bad Quality
15684,2025-04-16,Wrong Item
34453,2025-09-20,Damaged
30843,2025-08-21,Not Needed
99826,2025-07-03,Wrong Item
45625,2025-10-25,Bad Quality
107878,2025-07-20,Wrong Item
117559,2025-06-16,Wrong Item
18922,2025-06-08,Damaged
41168,2025-11-12,Damaged
46679,2025-02-16,Not Needed
71318,2025-06-25,Damaged
76491,2025-05-02,Wrong Item
12919,2024-12-31,Wrong Item
102670,2025-10-31,Damaged
69393,2024-05-15,Damaged
43646,2025-11-26,Not Needed
44409,2025-09-12,Wrong Item
99824,2025-09-20,Bad Quality
28967,2024-10-30,Not Needed
96422,2025-04-21,Damaged
4771,2025-09-29,Not Needed
23042,2025-05-11,Damaged
88894,2024-04-20,Damaged
25035,2025-10-23,Not Needed
12640,2024-12-19,Damaged
80241,2025-07-10,Damaged
1882,2025-08-10,Not Needed
25889,2025-06-13,Not Needed
75073,2025-06-22,Bad Quality
23232,2025-11-24,Not Needed
81058,2024-10-26,Bad Quality
63768,2024-08-18,Bad Quality
15615,2024-06-24,Bad Quality
95204,2024-08-22,Damaged
95006,2025-09-13,Not Needed
44652,2024-04-27,Not Needed
76877,2025-10-07,Not Needed
94429,2025-01-09,Wrong Item
7593,2025-10-17,Wrong Item
35379,2025-06-07,Bad Quality
14697,2025-04-07,Damaged
24005,2025-11-13,Wrong Item
111171,2025-02-28,Bad Quality
20968,2025-09-25,Not Needed
10343,2024-12-14,Not Needed
116436,2024-10-28,Bad Quality
81098,2024-04-12,Bad Quality
86717,2024-04-20,Bad Quality
16186,2025-03-11,Not Needed
116268,2024-10-06,Wrong Item
92504,2025-11-22,Not Needed
62508,2025-11-08,Bad Quality
67796,2024-08-05,Bad Quality
118766,2025-10-22,Wrong Item
7298,2025-10-31,Not Needed
76871,2025-07-26,Damaged
86252,2025-08-19,Damaged
68462,2025-08-21,Not Needed
44322,2024-06-02,Bad Quality
102334,2024-11-15,Damaged
9962,2024-11-17,Bad Quality
66969,2025-08-22,Not Needed
86998,2025-06-06,Damaged
77842,2025-11-21,Damaged
113853,2025-02-14,Bad Quality
26679,2025-08-19,Bad Quality
114984,2025-04-22,Not Needed
73087,2025-10-01,Wrong Item
88080,2025-11-02,Wrong Item
119229,2025-06-05,Bad Quality
87570,2025-09-20,Wrong Item
116813,2025-11-11,Bad Quality
50982,2024-10-31,Wrong Item
54247,2025-06-17,Not Needed
91763,2025-10-12,Bad Quality
61727,2025-07-29,Bad Quality
27353,2024-10-30,Damaged
57371,2025-01-14,Wrong Item
82143,2024-12-10,Damaged
18103,2025-06-23,Bad Quality
76879,2025-09-21,Bad Quality
56510,2025-10-27,Wrong Item
14181,2025-04-04,Wrong Item
26943,2024-08-27,Bad Quality
17279,2024-12-23,Wrong Item
57127,2025-11-25,Bad Quality
28900,2025-10-04,Bad Quality
36455,2024-11-11,Wrong Item
39979,2025-08-14,Not Needed
22788,2025-03-20,Wrong Item
71572,2025-08-21,Wrong Item
61952,2024-10-31,Wrong Item
64407,2025-10-06,Bad Quality
108400,2025-10-08,Not Needed
45272,2025-10-12,Wrong Item
84189,2025-10-01,Wrong Item
30998,2025-10-09,Damaged
61768,2025-10-13,Not Needed
46152,2025-06-24,Damaged
93519,2025-06-18,Bad Quality
92897,2025-07-29,Damaged
118605,2025-08-21,Damaged
2054,2025-09-23,Bad Quality
14594,2025-07-14,Not Needed
23433,2025-08-14,Wrong Item
33700,2025-10-16,Bad Quality
48805,2025-06-04,Not Needed
36664,2024-12-11,Bad Quality
18696,2025-11-26,Not Needed
49247,2024-10-03,Bad Quality
8274,2025-05-11,Wrong Item
98770,2025-09-28,Not Needed
69153,2025-08-14,Damaged
52250,2025-11-20,Damaged
30132,2025-10-14,Wrong Item
7642,2024-05-16,Damaged
78350,2025-10-15,Not Needed
22611,2025-10-20,Damaged
8908,2025-09-28,Damaged
54753,2025-03-28,Damaged
76633,2025-10-13,Wrong Item
96897,2025-07-08,Bad Quality
66365,2025-09-16,Damaged
104174,2025-08-07,Wrong Item
32447,2025-08-22,Damaged
24239,2025-08-21,Bad Quality
99449,2025-11-02,Damaged
62330,2025-09-11,Wrong Item
77597,2025-09-03,Bad Quality
90381,2025-11-18,Not Needed
15119,2024-09-24,Not Needed
20947,2025-01-04,Wrong Item
10734,2024-11-17,Not Needed
66492,2024-10-16,Damaged
43710,2024-03-27,Not Needed
92203,2025-08-07,Bad Quality
60078,2025-11-20,Bad Quality
34069,2025-08-07,Bad Quality
89988,2025-10-25,Not Needed
71330,2024-07-01,Bad Quality
113735,2025-06-19,Damaged
9555,2025-08-31,Wrong Item
14708,2024-07-09,Wrong Item
52150,2025-11-15,Wrong Item
11823,2025-11-06,Bad Quality
104674,2025-11-03,Not Needed
108406,2025-08-30,Wrong Item
98860,2025-09-14,Not Needed
114572,2025-08-03,Bad Quality
2848,2024-06-09,Wrong Item
94691,2025-08-27,Not Needed
49037,2025-01-06,Damaged
101997,2025-03-22,Not Needed
7675,2025-01-17,Bad Quality
99034,2025-07-14,Not Needed
4078,2025-05-12,Not Needed
50993,2025-10-11,Not Needed
119077,2025-05-08,Bad Quality
77332,2025-09-20,Wrong Item
33912,2025-11-24,Bad Quality
36493,2025-11-16,Damaged
68802,2025-09-23,Wrong Item
12089,2025-06-25,Damaged
63344,2025-07-04,Damaged
95512,2025-10-05,Bad Quality
116637,2025-06-05,Bad Quality
2439,2025-09-14,Wrong Item
37632,2025-09-15,Damaged
14097,2025-10-08,Wrong Item
38469,2025-11-28,Bad Quality
103706,2024-07-01,Wrong Item
49074,2025-03-23,Wrong Item
6670,2024-03-06,Damaged
94058,2025-11-15,Wrong Item
48435,2024-05-24,Damaged
72357,2025-05-21,Bad Quality
55947,2025-06-24,Damaged
101051,2025-10-27,Wrong Item
49684,2024-04-11,Bad Quality
69226,2025-09-19,Damaged
111495,2025-11-16,Wrong Item
54146,2025-04-24,Not Needed
20992,2025-03-09,Wrong Item
59261,2025-09-23,Bad Quality
43532,2025-06-02,Damaged
66246,2025-11-20,Bad Quality
22766,2025-09-30,Not Needed
15352,2025-04-01,Wrong Item
59305,2025-09-20,Wrong Item
111886,2025-06-25,Damaged
102257,2025-08-21,Not Needed
34860,2025-11-09,Bad Quality
21060,2025-06-06,Bad Quality
65055,2025-09-27,Wrong Item
713,2025-10-03,Damaged
23163,2024-05-12,Not Needed
95754,2025-11-24,Not Needed
57440,2025-09-15,Wrong Item
44266,2025-09-10,Bad Quality
5824,2025-11-21,Not Needed
114502,2025-09-08,Damaged
24446,2024-11-07,Bad Quality
59539,2024-12-25,Bad Quality
64433,2025-05-08,Wrong Item
74242,2025-04-30,Bad Quality
108862,2025-04-29,Not Needed
13410,2024-01-21,Wrong Item
2140,2025-01-10,Not Needed
70953,2025-11-25,Not Needed
75698,2025-07-06,Wrong Item
